🔴  央视频道,#genre#

CCTV-1 中央一套, http://222.85.69.6/PLTV/88888888/224/3221227052/index.m3u8?icpid=88888888&servicetype=1
CCTV-1 中央一套,  rtp://239.16.10.1:2000
CCTV-1 中央一套,http://222.85.69.6/TVOD/88888888/224/3221227052/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-1 中央一套,http://222.85.69.6/TVOD/88888888/224/3221226404/10000100000000060000000000398492_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV-1 中央一套,http://222.85.69.6/PLTV/88888888/224/3221227052/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-1 中央一套,http://222.85.69.6/PLTV/88888888/224/3221226404/10000100000000060000000000398492_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV-2 中央二套,http://222.85.69.6/PLTV/88888888/224/3221227049/index.m3u8?icpid=88888888&servicetype=1
CCTV-2 中央二套,rtp://239.16.10.127:2000
CCTV-2 中央二套,http://222.85.69.6/TVOD/88888888/224/3221227049/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-2 中央二套,http://222.85.69.6/TVOD/88888888/224/3221226515/10000100000000060000000000414181_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV-2 中央二套,http://222.85.69.6/PLTV/88888888/224/3221227049/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-2 中央二套,http://222.85.69.6/PLTV/88888888/224/3221226515/10000100000000060000000000414181_0.smil/index.m3u8?
CCTV-3 中央三套,http://222.85.69.6/PLTV/88888888/224/3221227053/index.m3u8?icpid=88888888&servicetype=1
CCTV-3 中央三套,rtp://239.16.10.2:2000
CCTV-3 中央三套,http://222.85.69.6/TVOD/88888888/224/3221227053/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-3 中央三套,http://222.85.69.6/TVOD/88888888/224/3221226401/10000100000000060000000000398495_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV-3 中央三套,http://222.85.69.6/PLTV/88888888/224/3221227053/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-3 中央三套,http://222.85.69.6/PLTV/88888888/224/3221226401/10000100000000060000000000398495_0.smil/index.m3u8?
CCTV-4 中央四套,http://222.85.69.6/PLTV/88888888/224/3221227050/index.m3u8?icpid=88888888&servicetype=1
CCTV-4 中央四套,rtp://239.16.10.128:2000
CCTV-4 中央四套,http://222.85.69.6/TVOD/88888888/224/3221227050/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-4 中央四套,http://222.85.69.6/TVOD/88888888/224/3221226512/10000100000000060000000000414186_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV-4 中央四套,http://222.85.69.6/PLTV/88888888/224/3221227050/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-4 中央四套,http://222.85.69.6/PLTV/88888888/224/3221226512/10000100000000060000000000414186_0.smil/index.m3u8?
CCTV-5 中央五套,http://222.85.69.6/PLTV/88888888/224/3221227047/index.m3u8?icpid=88888888&servicetype=1
CCTV-5 中央五套,rtp://239.16.10.132:2000","ruAddress":"http://222.85.69.6/TVOD/88888888/224/3221227047/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-5 中央五套,http://222.85.69.6/TVOD/88888888/224/3221226533/10000100000000060000000000416356_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV-5 中央五套,http://222.85.69.6/PLTV/88888888/224/3221227047/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-5 中央五套,http://222.85.69.6/PLTV/88888888/224/3221226533/10000100000000060000000000416356_0.smil/index.m3u8?
CCTV5+ 中央5+套,http://222.85.69.6/PLTV/88888888/224/3221227069/index.m3u8?icpid=88888888&servicetype=1
CCTV5+ 中央5+套,rtp://239.16.10.3:2000
CCTV5+ 中央5+套,http://222.85.69.6/TVOD/88888888/224/3221227069/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV5+ 中央5+套,http://222.85.69.6/TVOD/88888888/224/3221226583/10000100000000060000000000527265_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV5+ 中央5+套,http://222.85.69.6/PLTV/88888888/224/3221227069/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV5+ 中央5+套,http://222.85.69.6/PLTV/88888888/224/3221226583/10000100000000060000000000527265_0.smil/index.m3u8?
CCTV6 中央六套,http://222.85.69.6/PLTV/88888888/224/3221227046/index.m3u8?icpid=88888888&servicetype=1
CCTV6 中央六套,rtp://239.16.10.101:2000
CCTV6 中央六套,http://222.85.69.6/TVOD/88888888/224/3221227046/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV6 中央六套,http://222.85.69.6/TVOD/88888888/224/3221226509/10000100000000060000000000414188_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV6 中央六套,http://222.85.69.6/PLTV/88888888/224/3221227046/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV6 中央六套,http://222.85.69.6/PLTV/88888888/224/3221226509/10000100000000060000000000414188_0.smil/index.m3u8?
CCTV7 中央七套,http://222.85.69.6/PLTV/88888888/224/3221227084/index.m3u8?icpid=88888888&servicetype=1
CCTV7 中央七套,rtp://239.16.10.130:2000
CCTV7 中央七套,http://222.85.69.6/TVOD/88888888/224/3221227084/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV7 中央七套,http://222.85.69.6/TVOD/88888888/224/3221226539/10000100000000060000000000416354_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV7 中央七套,http://222.85.69.6/PLTV/88888888/224/3221227084/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV7 中央七套,http://222.85.69.6/PLTV/88888888/224/3221226539/10000100000000060000000000416354_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV8 中央八套,http://222.85.69.6/PLTV/88888888/224/3221227081/index.m3u8?icpid=88888888&servicetype=1
CCTV8 中央八套,rtp://239.16.10.102:2000
CCTV8 中央八套,http://222.85.69.6/TVOD/88888888/224/3221227081/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV8 中央八套,http://222.85.69.6/TVOD/88888888/224/3221226548/10000100000000060000000000416346_0.smil/index.m3u8?fmt=ts2hls&servicetype=
CCTV8 中央八套,http://222.85.69.6/PLTV/88888888/224/3221227081/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV8 中央八套,http://222.85.69.6/PLTV/88888888/224/3221226548/10000100000000060000000000416346_0.smil/index.m3u8?
